id,unique_terms,total_terms
1,239,1103
10,91,307
100,88,428
101,161,660
102,31,77
103,98,315
104,76,279
105,64,219
106,78,355
107,99,374
109,88,289
11,75,245
111,56,199
112,255,1121
113,82,286
114,316,1871
115,118,429
116,216,784
117,230,1090
118,264,1489
119,518,2536
12,90,353
120,123,543
121,87,465
122,71,247
123,172,1283
124,92,504
125,128,588
126,104,526
127,155,654
129,272,2052
13,62,196
130,37,145
131,66,278
132,113,509
133,45,184
134,189,691
135,223,1212
136,338,3325
137,143,637
14,93,367
140,207,1049
141,364,2139
142,93,396
143,261,1781
144,86,303
145,118,407
146,129,641
147,59,230
148,83,305
149,51,174
15,285,1207
150,121,836
151,163,725
152,358,2302
154,422,2526
155,153,713
156,241,1230
157,269,1620
158,269,1413
159,46,181
16,131,536
17,123,454
171,203,1003
173,288,1560
174,591,5245
175,171,802
176,55,203
178,64,243
179,30,113
18,140,553
180,132,656
19,64,237
197,167,958
199,77,216
2,489,2617
20,142,610
21,92,336
22,197,849
23,231,1004
30,66,221
300,281,1344
301,113,476
31,42,122
310,183,919
32,299,2137
320,61,218
322,146,710
324,781,5177
325,116,475
326,129,556
327,671,6767
328,51,184
329,110,519
33,92,337
330,310,1637
331,356,2081
337,130,872
338,79,357
339,51,191
34,32,119
340,519,3320
341,585,3386
342,299,1791
343,71,263
345,538,3426
347,183,712
348,116,456
349,65,236
35,26,87
350,342,2090
351,210,1151
352,575,4412
353,241,1018
36,151,707
37,266,1277
370,229,2196
371,207,1266
372,148,548
373,119,832
374,121,707
379,358,2990
38,376,2148
380,229,1474
381,66,432
382,68,451
383,106,465
384,41,214
385,41,230
386,78,443
387,66,370
388,354,2403
389,100,689
39,76,304
390,67,489
42,63,157
43,30,108
431,355,2300
44,93,515
45,139,699
46,169,784
47,308,1887
48,102,577
49,79,347
50,125,409
52,370,1628
60,78,243
61,78,277
62,193,842
64,75,257
65,194,760
66,136,647
67,100,385
68,214,1090
69,150,671
70,238,1146
71,21,74
72,42,156
73,61,283
74,85,342
75,380,2249
78,402,2772
79,149,622
8,222,1087
80,55,172
81,46,162
83,103,381
84,68,287
85,274,1530
86,70,306
87,179,983
88,194,1009
9,203,898
90,105,418
91,110,462
93,359,2667
94,149,711
98,297,1522
99,254,1093
