word,count
code,4408
tt,3362
bip,3090
0,2391
key,2328
1,2200
sub,2138
bitcoin,2101
transaction,1842
2,1493
pre,1363
block,1320
s,1278
https,1244
script,1232
public,1065
byte,988
transactions,959
bytes,950
com,940
output,919
hash,917
version,895
data,845
use,826
new,793
message,789
ref,786
signature,783
mediawiki,739
address,736
input,714
x,706
number,693
keys,693
size,651
value,641
payment,639
type,628
github,623
32,605
set,603
3,592
time,588
witness,588
outputs,529
specification,527
m,526
n,523
p,506
org,501
bips,481
inputs,481
following,465
wallet,465
bit,454
protocol,450
4,446
blocks,444
implementation,434
e,417
path,417
peer,413
proposal,402
case,400
string,391
network,387
b,382
master,376
g,374
t,373
k,366
private,365
node,364
index,363
consensus,361
non,360
return,356
valid,356
license,355
derivation,345
user,344
let,341
signatures,340
wallets,339
standard,337
bits,331
chain,329
example,326
messages,323
format,322
stack,322
change,320
order,316
psbt,315
proof,314
nodes,310
addresses,306
style,297
sender,295
sup,294
tree,294
spend,293
taproot,293
field,292
scripts,286
defined,283
receiver,282
length,281
blob,280
required,274
rules,272
possible,269
support,269
single,263
list,262
fork,258
r,258
information,251
based,248
request,244
c,244
sha256,243
invalid,242
8,239
encoded,238
different,236
clients,236
future,235
secret,235
header,234
hex,232
software,228
5,228
reference,225
algorithm,218
fail,216
pubkey,216
values,215
client,215
allow,214
fee,214
merkle,213
signing,212
signer,212
users,210
allows,210
bsd,206
v,206
clause,205
peers,204
height,204
server,201
nonce,201
64,199
comments,197
y,197
encoding,196
pk,196
optional,195
h,195
document,194
template,193
scriptpubkey,193
process,192
original,191
deployment,191
id,191
funds,190
soft,189
way,189
color,189
given,188
test,188
multiple,187
existing,187
u,187
filter,187
background,186
limit,184
integer,183
instead,180
recovery,178
policy,177
bob,176
text,175
extended,174
need,173
specified,171
segwit,171
compatibility,170
alice,170
descriptor,169
point,168
leaf,168
spending,168
implementations,167
types,166
checksum,166
encryption,166
